"Timestamp","Gender","Course ","What makes you happy ?
Reflect on the past, and recall an event that happened to you that made you happy."
"2025/10/15 4:02:09 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:09 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:02:10 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:11 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:15 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:15 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:15 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:02:17 PM GMT+5:30","Male","Undergraduate","Exercise"
"2025/10/15 4:02:17 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:02:17 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:17 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:02:18 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:18 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:18 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:19 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:19 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:21 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:21 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:21 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:22 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:02:22 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:22 PM GMT+5:30","Female","Undergraduate","Bonding"
"2025/10/15 4:02:22 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:22 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:23 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:23 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:23 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:24 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:26 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:26 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:27 PM GMT+5:30","Female","Undergraduate","Exercise"
"2025/10/15 4:02:27 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:02:28 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:28 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:29 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:29 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:31 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:32 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:34 PM GMT+5:30","Male","Undergraduate","Exercise"
"2025/10/15 4:02:35 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:35 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:35 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:02:36 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:02:37 PM GMT+5:30","Male","Undergraduate","Exercise"
"2025/10/15 4:02:37 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:37 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:37 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:37 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:40 PM GMT+5:30","Female","Undergraduate","Affection"
"2025/10/15 4:02:45 PM GMT+5:30","Male","Postgraduate","Bonding"
"2025/10/15 4:02:46 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:47 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:47 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:02:48 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:02:49 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:49 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:50 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:52 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:52 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:02:53 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:53 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:02:54 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:54 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:55 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:57 PM GMT+5:30","Female","Undergraduate","Leisure"
"2025/10/15 4:02:58 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:02:59 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:59 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:02:59 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:02:59 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:02 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:02 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:02 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:05 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:06 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:08 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:03:08 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:03:09 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:14 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:15 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:15 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:17 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:18 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:18 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:03:20 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:21 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:03:22 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:03:25 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:03:25 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:26 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:03:26 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:29 PM GMT+5:30","Male","Undergraduate","Leisure"
"2025/10/15 4:03:29 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:30 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:30 PM GMT+5:30","Male","Undergraduate","Bonding"
"2025/10/15 4:03:32 PM GMT+5:30","Female","Undergraduate","Achievement"
"2025/10/15 4:03:36 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:03:40 PM GMT+5:30","Prefer not to say","Undergraduate","Enjoy the moment"
"2025/10/15 4:03:43 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:44 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:03:52 PM GMT+5:30","Male","Undergraduate","Affection"
"2025/10/15 4:03:59 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:04:17 PM GMT+5:30","Male","Undergraduate","Enjoy the moment"
"2025/10/15 4:04:17 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:04:30 PM GMT+5:30","Female","Undergraduate","Affection"
"2025/10/15 4:05:26 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:07:12 PM GMT+5:30","Female","Undergraduate","Nature"
"2025/10/15 4:07:47 PM GMT+5:30","Male","Undergraduate","Achievement"
"2025/10/15 4:09:16 PM GMT+5:30","Female","Undergraduate","Leisure"
"2025/10/15 4:09:20 PM GMT+5:30","Female","Undergraduate","Leisure"
"2025/10/15 4:16:29 PM GMT+5:30","Male","Undergraduate","Nature"
"2025/10/15 4:21:36 PM GMT+5:30","Female","Undergraduate","Enjoy the moment"
"2025/10/15 4:22:04 PM GMT+5:30","Female","Undergraduate","Enjoy the moment"
